provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
15043,5,5,3,3,5,N,83,"For profit - Corporation"
335614,5,5,4,4,4,N,53,"For profit - Partnership"
335615,5,3,4,4,5,N,39,"For profit - Individual"
335617,2,1,4,5,5,N,38,"For profit - Individual"
335618,5,5,4,5,4,N,40,"For profit - Individual"
335619,2,1,4,4,2,N,91,"For profit - Corporation"
335620,3,2,4,4,2,N,113,"Non profit - Corporation"
335621,5,5,4,3,5,N,289,"Non profit - Corporation"
335625,4,4,1,2,5,N,312,"Non profit - Corporation"
335626,3,2,2,2,5,N,180,"Non profit - Corporation"
335627,2,1,4,3,5,N,298,"Non profit - Corporation"
15044,3,2,4,3,4,N,52,"For profit - Corporation"
335628,2,1,4,4,3,N,107,"Government - County"
335629,5,4,2,3,5,N,279,"Non profit - Corporation"
335631,5,4,2,2,5,N,205,"Non profit - Corporation"
335632,2,1,4,3,4,N,94,"Government - County"
335634,4,2,4,4,5,N,179,"For profit - Corporation"
335635,3,3,3,3,4,N,121,"For profit - Corporation"
335636,2,3,1,2,4,N,98,"Non profit - Corporation"
335637,3,2,3,3,5,N,123,"For profit - Corporation"
335638,4,2,4,4,5,N,174,"For profit - Corporation"
335639,3,3,3,3,4,N,57,"Non profit - Corporation"
15045,4,2,4,4,5,N,101,"Non profit - Other"
335640,1,1,1,2,4,N,90,"For profit - Corporation"
335641,3,3,1,2,5,N,71,"For profit - Corporation"
335642,4,3,4,3,3,N,149,"For profit - Partnership"
335644,5,5,1,2,5,N,676,"For profit - Corporation"
335645,2,2,2,2,4,N,119,"Non profit - Corporation"
335647,2,1,1,1,5,N,187,"For profit - Individual"
335648,5,5,2,4,5,N,186,"For profit - Individual"
335649,5,3,4,3,5,N,197,"For profit - Corporation"
335650,1,1,4,4,1,N,385,"Government - County"
335652,1,2,1,1,3,N,108,"For profit - Individual"
15047,5,4,4,2,5,N,99,"For profit - Corporation"
335653,5,5,1,2,5,N,338,"Non profit - Corporation"
335655,5,5,2,2,5,N,218,"For profit - Partnership"
335656,3,2,2,4,5,N,211,"For profit - Partnership"
335657,1,1,2,3,3,N,117,"For profit - Corporation"
335658,3,2,4,4,2,N,73,"Non profit - Corporation"
335659,4,4,1,1,5,N,230,"For profit - Corporation"
335661,4,3,3,1,5,N,116,"For profit - Corporation"
335662,5,4,4,3,5,N,211,"For profit - Corporation"
335663,1,1,1,2,3,N,120,"For profit - Corporation"
335665,4,3,3,3,5,N,539,"Non profit - Corporation"
15048,5,4,4,3,5,N,86,"For profit - Corporation"
335666,5,5,4,4,5,N,120,"Non profit - Corporation"
335667,5,5,5,5,5,N,54,"For profit - Partnership"
335668,2,2,2,2,4,N,141,"Non profit - Church related"
335669,4,3,3,4,5,N,80,"Non profit - Corporation"
335670,3,2,4,4,4,N,78,"Non profit - Corporation"
335672,4,2,4,3,5,N,149,"Non profit - Corporation"
335673,5,5,3,4,5,N,247,"For profit - Individual"
335674,2,3,1,2,4,N,227,"For profit - Corporation"
335675,5,4,4,4,5,N,118,"Non profit - Church related"
335676,5,5,1,1,5,N,226,"For profit - Partnership"
15049,2,2,3,4,3,N,95,"Non profit - Corporation"
335677,5,5,2,2,5,N,184,"For profit - Corporation"
