population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
292825,11.6,86,93.9,86.1,1
16048,16.8,-1111.1,5.5,49.9,2
5286,16.8,-1111.1,1.7,75.7,1
20905,13.4,-1111.1,6.3,38.3,1
143171,10.6,81.5,43.9,84.5,1
962,10.4,-1111.1,0.5,104,2
13840,9.5,-1111.1,4.7,36.1,1
25384,16.3,-1111.1,9.3,67,1
40539,11.9,-1111.1,16.2,61.7,2
27804,12.7,-1111.1,11.3,61.1,1
18774,22.2,-1111.1,6.4,69.2,1
4560,7.6,-1111.1,2,175.4,2
16993,8.2,-1111.1,6.2,5.9,1
4477,11.9,-1111.1,2.3,111.7,2
15474,5,-1111.1,6,116.3,2
13116,19.1,-1111.1,5.6,76.2,1
156737,16.8,74.8,41.8,86.8,1
6340,8.1,-1111.1,2.4,126.2,2
11617,15.4,-1111.1,4.4,43,1
22980,5.8,-1111.1,7.8,100.1,2
7058,29.9,-1111.1,4.9,28.3,1
552,12.4,-1111.1,0.3,0,2
7552,8.2,-1111.1,4.2,132.4,1
2354,11.8,-1111.1,1.1,85,2
26843,6.8,-1111.1,12.2,108,2
21661,7.3,-1111.1,5.8,69.2,1
4497,12.4,-1111.1,2.1,0,2
249775,12,78.1,94.9,56.1,1
9669,12.7,-1111.1,4.4,72.4,2
895030,8.2,83.3,183.6,131.2,1
877312,10.4,86,178.5,131.2,1
187745,5.6,84.1,33.6,75.6,1
164794,5.5,87.4,28.5,88,1
846101,11,82.4,169.9,145.6,1
264519,6.9,84.2,47.2,76.7,1
148406,6.8,86.1,28.9,68.7,1
117345,11.7,80.3,22.2,57.1,1
155415,10.7,85,35.4,45.7,1
529641,9.6,88,103.3,94.4,1
188036,12,85.5,55.2,62.8,1
591833,16.9,84.7,137.8,201.9,1
241364,20,83.3,115.1,206.7,1
26164,15.3,-1111.1,6.2,30.6,2
163946,11.9,80.8,54,62.2,1
29012,19.3,-1111.1,7.4,34.5,2
536521,10.7,80.5,178.2,75.5,1
1751234,12,81.6,810.6,80.9,1
13617,20.9,-1111.1,4.2,36.7,1
150060,10.3,85.3,53.2,60.6,1
