provider_id,measure_id,score,unweighed_patient_experience_of_care_domain_score
100248,MSPB_1,1.12,22
100249,MSPB_1,1.07,26
100252,MSPB_1,0.96,31
100253,MSPB_1,1.02,22
100254,MSPB_1,1.09,21
100255,MSPB_1,1.06,12
100256,MSPB_1,1.04,14
100258,MSPB_1,1.09,9
100259,MSPB_1,1.07,31
150021,MSPB_1,1.01,41
150022,MSPB_1,0.91,87
150023,MSPB_1,1.01,39
150024,MSPB_1,0.94,48
150026,MSPB_1,1.02,54
150030,MSPB_1,0.96,54
150034,MSPB_1,1.01,50
150035,MSPB_1,1.03,35
150037,MSPB_1,1.03,55
150042,MSPB_1,1.05,90
150044,MSPB_1,1.01,78
150045,MSPB_1,0.98,48
150046,MSPB_1,1.02,42
150047,MSPB_1,1.02,31
150048,MSPB_1,1.01,44
150051,MSPB_1,1.04,36
150056,MSPB_1,1.02,35
150057,MSPB_1,0.96,63
150058,MSPB_1,0.98,46
150059,MSPB_1,1.02,43
150061,MSPB_1,1.19,37
150064,MSPB_1,0.93,84
150065,MSPB_1,0.94,84
150069,MSPB_1,0.97,38
150072,MSPB_1,1.04,37
150074,MSPB_1,1,27
150075,MSPB_1,0.93,59
150076,MSPB_1,1.01,47
150082,MSPB_1,1.05,54
150084,MSPB_1,1.04,25
150086,MSPB_1,0.99,58
150088,MSPB_1,1.05,36
150089,MSPB_1,1.02,33
150090,MSPB_1,1.08,38
150091,MSPB_1,0.95,53
150097,MSPB_1,1.01,69
150100,MSPB_1,1.02,47
150101,MSPB_1,0.85,76
150104,MSPB_1,0.98,32
150109,MSPB_1,0.98,43
150112,MSPB_1,0.96,42
150113,MSPB_1,0.98,52
150115,MSPB_1,0.95,81
150125,MSPB_1,1.05,64
150126,MSPB_1,1.01,20
150128,MSPB_1,1.03,45
150129,MSPB_1,1.05,12
150133,MSPB_1,0.98,42
150146,MSPB_1,1.02,71
150150,MSPB_1,1,51
150153,MSPB_1,0.99,71
150154,MSPB_1,1.01,69
150157,MSPB_1,0.99,44
150158,MSPB_1,1.03,51
150161,MSPB_1,1.06,65
150162,MSPB_1,1.04,44
150164,MSPB_1,0.99,34
150165,MSPB_1,0.99,49
150166,MSPB_1,1.11,46
150169,MSPB_1,1.03,42
150173,MSPB_1,1.06,31
150175,MSPB_1,1.01,88
150176,MSPB_1,1.04,80
160001,MSPB_1,0.81,42
160005,MSPB_1,0.92,38
160008,MSPB_1,0.96,63
160013,MSPB_1,0.87,50
110078,MSPB_1,0.97,33
110079,MSPB_1,0.94,31
110082,MSPB_1,0.95,37
110083,MSPB_1,0.97,30
110086,MSPB_1,0.93,41
110087,MSPB_1,0.97,50
110089,MSPB_1,0.86,76
110091,MSPB_1,0.99,22
110092,MSPB_1,0.89,70
110095,MSPB_1,0.89,33
110104,MSPB_1,0.84,23
110105,MSPB_1,0.97,24
110107,MSPB_1,1.01,31
110115,MSPB_1,1.05,21
110122,MSPB_1,0.95,51
110124,MSPB_1,0.97,37
110125,MSPB_1,0.92,39
110128,MSPB_1,0.96,71
110129,MSPB_1,1.01,33
110132,MSPB_1,0.94,58
110135,MSPB_1,0.92,73
110143,MSPB_1,1,17
110146,MSPB_1,0.95,23
110150,MSPB_1,0.89,31
110153,MSPB_1,0.87,56
110161,MSPB_1,1.02,46
110164,MSPB_1,1,22
110165,MSPB_1,1.01,10
110168,MSPB_1,0.92,65
110177,MSPB_1,0.99,30
110183,MSPB_1,0.95,45
110184,MSPB_1,0.95,45
110186,MSPB_1,1.06,64
110187,MSPB_1,0.89,39
110189,MSPB_1,0.96,71
110191,MSPB_1,0.98,17
110192,MSPB_1,1.03,16
110194,MSPB_1,0.8,81
110198,MSPB_1,0.98,16
110201,MSPB_1,1,31
110205,MSPB_1,0.95,23
110215,MSPB_1,0.93,35
110225,MSPB_1,0.9,39
110226,MSPB_1,0.99,25
110229,MSPB_1,0.92,40
110230,MSPB_1,0.91,45
120001,MSPB_1,0.88,28
120002,MSPB_1,0.87,20
120004,MSPB_1,0.91,12
120005,MSPB_1,0.92,38
120006,MSPB_1,0.86,46
120007,MSPB_1,0.93,18
120011,MSPB_1,0.84,50
120014,MSPB_1,0.86,69
